ticker,company_name,country,ipo_year,market_cap,subsector
PUK,Prudential Public Limited Company,United Kingdom,,58010000000.0,Life Insurance
PUK^,Prudential Public Limited Company,United Kingdom,,,
PUK^A,Prudential Public Limited Company,United Kingdom,,,
PSB,"PS Business Parks, Inc.",United States,,3510000000.0,Real Estate Investment Trusts
PSB^U,"PS Business Parks, Inc.",United States,,,
PSB^V,"PS Business Parks, Inc.",United States,,,
PSB^W,"PS Business Parks, Inc.",United States,,,
PSB^X,"PS Business Parks, Inc.",United States,,,
PSB^Y,"PS Business Parks, Inc.",United States,,,
PMD,Psychemedics Corporation,United States,,113770000.0,Medical Specialities
TLK,"PT Telekomunikasi Indonesia, Tbk",Indonesia,,22820000000.0,Telecommunications Equipment
PTC,PTC Inc.,United States,,11930000000.0,Computer Software: Prepackaged Software
PTCT,"PTC Therapeutics, Inc.",United States,2013.0,2100000000.0,Major Pharmaceuticals
PEG,Public Service Enterprise Group Incorporated,United States,,26290000000.0,Power Generation
PSA,Public Storage,United States,,37620000000.0,Real Estate Investment Trusts
PSA^A,Public Storage,United States,,,
PSA^B,Public Storage,United States,,,Real Estate Investment Trusts
PSA^C,Public Storage,United States,,,Real Estate Investment Trusts
PSA^D,Public Storage,United States,,,Real Estate Investment Trusts
PSA^E,Public Storage,United States,,,Real Estate Investment Trusts
PSA^F,Public Storage,United States,,,Real Estate Investment Trusts
PSA^G,Public Storage,United States,,,
PSA^U,Public Storage,United States,,,Real Estate Investment Trusts
PSA^V,Public Storage,United States,,,Real Estate Investment Trusts
PSA^W,Public Storage,United States,,,
PSA^X,Public Storage,United States,,,
PSA^Y,Public Storage,United States,,,
PSA^Z,Public Storage,United States,,,
PULM,"Pulmatrix, Inc.",United States,2014.0,14420000.0,Major Pharmaceuticals
PLSE,"Pulse Biosciences, Inc",United States,2016.0,245390000.0,Medical/Dental Instruments
PHM,"PulteGroup, Inc.",United States,,7910000000.0,Homebuilding
PBYI,Puma Biotechnology Inc,United States,,1700000000.0,Major Pharmaceuticals
PACQ,Pure Acquisition Corp.,United States,2018.0,100060000.0,Business Services
PACQU,Pure Acquisition Corp.,United States,2018.0,,Business Services
PACQW,Pure Acquisition Corp.,United States,2018.0,,Business Services
PCYO,Pure Cycle Corporation,United States,,259029999.99999997,Water Supply
PSTG,"Pure Storage, Inc.",,2015.0,5260000000.0,Electronic Components
PRPL,"Purple Innovation, Inc.",United States,2015.0,317150000.0,Home Furnishings
PRPLW,"Purple Innovation, Inc.",United States,2015.0,,Home Furnishings
PMM,Putnam Managed Municipal Income Trust,United States,1989.0,377980000.0,
PIM,Putnam Master Intermediate Income Trust,United States,1988.0,248480000.0,
PMO,Putnam Municipal Opportunities Trust,United States,1993.0,432990000.0,
PPT,Putnam Premier Income Trust,United States,1988.0,567380000.0,
NEW,Puxin Limited,,2018.0,1370000000.0,Other Consumer Services
PVH,PVH Corp.,United States,,11870000000.0,Apparel
PXS,Pyxis Tankers Inc.,Greece,,17540000.0,Marine Transportation
PZN,Pzena Investment Management Inc,United States,2007.0,628240000.0,Investment Managers
QTWO,"Q2 Holdings, Inc.",,2014.0,2550000000.0,Computer Software: Prepackaged Software
QADA,QAD Inc.,United States,,1020000000.0,Computer Software: Prepackaged Software
QADB,QAD Inc.,United States,,796850000.0,Computer Software: Prepackaged Software
QCRH,"QCR Holdings, Inc.",United States,,638410000.0,Major Banks
QEP,"QEP Resources, Inc.",United States,,2320000000.0,Oil & Gas Production
QGEN,Qiagen N.V.,Netherlands,,8620000000.0,Biotechnology: Biological Products (No Diagnostic Substances)
QIWI,QIWI plc,Cyprus,2013.0,921910000.0,Business Services
QRVO,"Qorvo, Inc.",United States,,10400000000.0,Semiconductors
QTS,"QTS Realty Trust, Inc.",United States,2013.0,2260000000.0,Real Estate Investment Trusts
QTS^A,"QTS Realty Trust, Inc.",United States,,,
QTS^B,"QTS Realty Trust, Inc.",United States,,,
QUAD,"Quad Graphics, Inc",United States,,1190000000.0,Publishing
KWR,Quaker Chemical Corporation,United States,,2240000000.0,Major Chemicals
QCOM,QUALCOMM Incorporated,United States,1991.0,96120000000.0,Radio And Television Broadcasting And Communications Equipment
QSII,"Quality Systems, Inc.",United States,1982.0,1400000000.0,EDP Services
QBAK,Qualstar Corporation,United States,2000.0,17350000.0,Electronic Components
QLYS,"Qualys, Inc.",United States,2012.0,3340000000.0,Computer Software: Prepackaged Software
NX,Quanex Building Products Corporation,United States,,589020000.0,Metal Fabrications
PWR,"Quanta Services, Inc.",United States,,5090000000.0,Engineering & Construction
QTNA,"Quantenna Communications, Inc.",United States,2016.0,590520000.0,Semiconductors
QTRX,Quanterix Corporation,United States,2017.0,313370000.0,Biotechnology: Laboratory Analytical Instruments
QTM,Quantum Corporation,United States,,62760000.0,Electronic Components
QTRH,Quarterhill Inc.,Canada,,162780000.0,Multi-Sector Companies
QD,Qudian Inc.,China,2017.0,2210000000.0,Finance: Consumer Services
DGX,Quest Diagnostics Incorporated,United States,,14850000000.0,Medical Specialities
QRHC,Quest Resource Holding Corporation.,United States,,27100000.0,Diversified Commercial Services
QUIK,QuickLogic Corporation,United States,1999.0,98300000.0,Semiconductors
QDEL,Quidel Corporation,United States,,2660000000.0,Biotechnology: In Vitro & In Vivo Diagnostic Substances
QNST,"QuinStreet, Inc.",United States,2010.0,674490000.0,Business Services
QES,Quintana Energy Services Inc.,,2018.0,263329999.99999997,Oilfield Services/Equipment
QUMU,Qumu Corporation,United States,,24730000.0,Computer Software: Prepackaged Software
QHC,Quorum Health Corporation,,2016.0,133759999.99999999,Hospital/Nursing Management
QTNT,Quotient Limited,United Kingdom,2014.0,368630000.0,Biotechnology: In Vitro & In Vivo Diagnostic Substances
QUOT,Quotient Technology Inc.,,2014.0,1330000000.0,Advertising
QRTEA,"Qurate Retail, Inc.",United States,,10520000000.0,Catalog/Specialty Distribution
QRTEB,"Qurate Retail, Inc.",United States,,10360000000.0,Catalog/Specialty Distribution
CTAA,Qwest Corporation,United States,2016.0,,Telecommunications Equipment
CTBB,Qwest Corporation,United States,2016.0,,Telecommunications Equipment
CTDD,Qwest Corporation,United States,2017.0,,Telecommunications Equipment
CTU,Qwest Corporation,United States,,,Telecommunications Equipment
CTV,Qwest Corporation,United States,2014.0,,Telecommunications Equipment
CTW,Qwest Corporation,United States,,,Telecommunications Equipment
CTX,Qwest Corporation,United States,,2930000000.0,Telecommunications Equipment
